City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,thompson,55.7435,-97.8558,10.63,95,100,3.43,CA,1689491277
83,jamestown,42.097,-79.2353,20.77,98,100,3.09,US,1689491231
84,bamboo flat,11.7,92.7167,30.05,74,40,5.14,IN,1689491277
85,zeya,53.75,127.2667,32.18,30,1,2.03,RU,1689491277
86,umba,66.6871,34.3429,16.87,66,19,3.7,RU,1689491278
87,ust-nera,64.5667,143.2,23.87,44,53,2.81,RU,1689491278
88,remire-montjoly,4.9167,-52.2667,23.02,100,0,0.0,GF,1689491278
89,punta arenas,-53.15,-70.9167,1.06,80,0,2.57,CL,1689491164
90,torghay,49.6339,63.4981,32.51,20,96,8.19,KZ,1689491279
91,albany,42.6001,-73.9662,23.62,98,100,1.34,US,1689490973
92,karratha,-20.7377,116.8463,25.51,28,0,4.57,AU,1689491279
93,kisanga,-7.4362,37.7034,26.02,54,0,1.81,TZ,1689491280
94,taoudenni,22.6783,-3.9836,35.15,32,35,8.38,ML,1689491280
95,manzanillo,20.3433,-77.1167,24.74,90,6,3.47,CU,1689490765
96,tura,25.5198,90.2201,29.7,71,100,3.09,IN,1689491281
97,papatowai,-46.5619,169.4708,8.09,71,88,6.35,NZ,1689491281
98,tazovsky,67.4667,78.7,9.27,56,8,5.91,RU,1689491281
99,mariental,-24.6333,17.9667,12.48,33,0,1.63,NA,1689491282
100,badger,64.8,-147.5333,16.4,87,100,2.06,US,1689491282
101,kongsvinger,60.1905,11.9977,15.37,97,100,3.15,NO,1689491175
102,chui,-33.6971,-53.4616,8.91,75,80,3.63,UY,1689491283
103,west island,-12.1568,96.8225,26.99,69,40,8.23,CC,1689491019
104,ijui,-28.3878,-53.9147,9.29,88,52,1.32,BR,1689491284
105,lompoc,34.6391,-120.4579,16.08,96,100,0.0,US,1689491285
106,minas de marcona,-15.2119,-75.1103,11.16,89,32,3.9,PE,1689491285
107,linxia chengguanzhen,35.6003,103.2064,28.44,26,0,2.39,CN,1689491286
108,atafu village,-8.5421,-172.5159,28.55,74,96,4.33,TK,1689491286
109,nampula,-15.1165,39.2666,18.97,82,20,6.26,MZ,1689491169
110,st. john's,47.5649,-52.7093,15.99,95,100,0.89,CA,1689491224
111,isafjordur,66.0755,-23.124,6.64,85,85,3.18,IS,1689491287
112,santa ana,33.7456,-117.8678,24.29,85,0,1.54,US,1689491288
